Country,Happiness score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government,Democratic Quality,FDI,Birth rate,Population Density
Jordan,5.161,9.025333405,0.814664543,64.4178772,0.766262472,-0.151522875,,,-0.644290686,1606009390,23.9,106.3207066
Kazakhstan,5.79,10.0718708,0.914093196,64.19999695,0.745243967,-0.049178492,0.755250692,0.755705774,-0.622102797,9233777846,18.1,6.590177551
Kenya,4.41,8.01025486,0.714604318,58.68983841,0.853394389,0.250179261,0.85400039,0.637862563,-0.737279534,561604246,23.9,85.15636926
Kosovo,5.662,9.164076805,0.792087257,62.39247894,0.857676744,0.117103048,0.92519182,0.298196137,,303928785.1,17.1,166.825878
Kuwait,6.083,11.11179256,0.853491306,65.37895966,0.884181619,-0.048504289,,,-0.420880616,236112723.6,19.2,226.8033296
Kyrgyzstan,5.131,8.11204052,0.882586658,62.89964676,0.859389782,0.166667372,0.874494493,0.561672747,-0.572721183,619021900,22.1,178.709
Laos,4.623,8.708567619,0.70733577,57.8695755,0.891000748,0.076482594,0.591616809,0.839935005,0.6312989,1209303408,23.6,29.29012132
Latvia,5.933,10.1330328,0.895098746,65.10926056,0.699520111,-0.163831443,0.79837811,0.264000505,-1.038987398,739933712.5,9.7,31.50961724
Lebanon,5.199,9.491579056,0.776583016,68.8638916,0.604554176,-0.075028144,0.910727262,0.217718095,-0.109219924,2481694343,14.3,584.571652
Liberia,3.495,6.629414082,0.684866846,52.78684998,0.733389914,0.04057676,0.866806388,0.554991543,-0.320883244,587106567.7,38.3,47.91441722
Libya,5.566,9.625382423,0.822758794,61.48470688,0.778695881,-0.130131885,0.673065543,,-1.790413499,609111500,17.5,3.58101625
Lithuania,5.952,10.28265762,0.926316619,67.04169464,0.749307334,-0.182276621,0.949392676,0.32124728,0.892637491,997953481.7,9.9,45.76242342
Luxembourg,6.91,11.46523094,0.905435503,72.2013092,0.90282172,0.029771445,0.330173582,0.73892206,1.421888709,21428936491,11.5,225.3625483
Macedonia,5.185,9.50363636,0.79995513,65.8757782,0.752106607,-0.062728427,0.855697274,0.442916453,-0.308208942,425557636,11.4,82.52278615
Madagascar,3.774,7.249253273,0.626331985,56.99448395,0.570347905,-0.025507912,0.847260773,0.541916132,-0.333081782,529056297.2,31.6,42.79794546
Malawi,3.587,7.00270319,0.555422723,54.23464203,0.847920775,0.021560058,0.734636605,0.620332539,-0.011598717,372945771.7,41,191.936381
Mali,4.447,7.608559132,0.741359413,49.17869949,0.753213346,-0.064547285,0.862655163,0.504820108,-0.864825547,200472722.1,43.9,14.75309091
Malta,6.627,10.50269985,0.937331796,71.82951355,0.923642933,0.241762459,0.690494537,0.75200516,1.138802528,2972182441,10.1,1422.605208
Mauritania,4.356,8.187707901,0.77922523,53.33533859,0.527446806,-0.134765625,0.777314067,0.292109728,-0.783127666,453692935.2,30.4,4.173067818
Mauritius,5.891,9.914654732,0.910142243,65.5891571,0.912307501,0.073929414,0.818179905,0.614670753,0.955853879,278854356.5,13,622.445156
Mexico,6.488,9.741969109,0.799839377,68.09822845,0.861405134,-0.206639215,0.800893068,0.25695315,-0.427138358,34340050153,18.3,65.60433619
Moldova,5.64,8.545788765,0.83076793,63.70124435,0.552825212,-0.003178872,0.926333785,0.132729635,-0.154610381,171856666.7,11.5,123.7307045
Mongolia,5.125,9.318548203,0.924250782,62.31261063,0.674627423,0.106451347,0.864952207,0.275058359,0.635155261,-855911524.3,18.9,1.94819683
Montenegro,5.347,9.694497108,0.881199837,67.14218903,0.625906289,-0.084890783,0.755680025,0.351549894,0.120648876,491626743.4,10,46.26847584
Morocco,5.254,8.915043831,0.641193092,65.33885956,0.814258039,-0.227919385,0.840502441,,-0.466077298,2738844094,17.7,79.03479573
Mozambique,4.417,7.046577454,0.678463697,49.9577446,0.822670519,-0.021502597,0.682108939,0.759234369,,3105191928,38.1,36.66971905
Myanmar,4.308,8.634504318,0.795183837,57.64122009,0.886011839,0.62870574,0.618821502,0.82417655,-0.744200706,4015608664,17.79,80.98012546
Namibia,4.441,9.203362465,0.82833904,55.49542618,0.810401857,-0.20176585,0.831302881,0.745853603,,648638189.9,27.3,3.011926944
Nepal,4.88,7.801309109,0.816383302,61.26595688,0.84514761,0.146511137,0.770177126,0.559578538,-0.51362282,118052391.4,19.5,202.1719591
Netherlands,7.441,10.79181385,0.936501324,71.61999512,0.920319736,0.237440467,0.363133639,0.669553638,1.184740663,2.16E+11,10.9,505.6207678
New Zealand,7.324,10.47576237,0.95492065,71.61430359,0.942279458,0.28505671,0.221887484,0.609015465,1.467140079,1757254577,13.2,17.8279088
Nicaragua,6.141,8.575318336,0.83804369,66.25178528,0.922162771,0.010326705,0.672963321,0.590425193,-0.400105834,915133333.3,17.7,51.10393884
Niger,4.166,6.831231594,0.582109571,51.32594299,0.68355757,-0.012236271,0.777660012,0.601117253,-0.711487949,415195952.3,44.2,16.32780716
Nigeria,5.155,8.58562088,0.733468533,45.8731575,0.825905561,0.113301486,0.834891975,0.558790743,-1.074466944,3693218302,36.9,204.2439163
