-5.0241,-4.8912,-4.7584,-4.6255,-4.4927,-4.3598,-4.2269,-4.0941,-3.9612,-3.8284,-3.6955,-3.5626,-3.4298,-3.2969,-3.1641,-3.0312,-2.8983,-2.7655,-2.6326,-2.4998,-2.3669,-2.234,-2.1012,-1.9683,-1.8354,-1.7026,-1.5697,-1.4369,-1.304,-1.1711,-1.0383,-0.90542,-0.77256,-0.6397,-0.50684,-0.37398,-0.24112,-0.10826,0.024606,0.15747,0.29033,0.42319,0.55605,0.68891,0.82177,0.95463,1.0875,1.2204,1.3532,1.4861,1.6189,1.7518,1.8847,2.0175,2.1504,2.2832,2.4161,2.549,2.6818,2.8147,2.9475,3.0804,3.2133,3.3461,3.479,3.6119,3.7447,3.8776,4.0104,4.1433,4.2762,4.409,4.5419,4.6747,4.8076,4.9405,5.0733,5.2062,5.339,5.4719,5.6048,5.7376,5.8705,6.0033,6.1362,6.2691,6.4019,6.5348,6.6677,6.8005,6.9334,7.0662,7.1991,7.332,7.4648,7.5977,7.7305,7.8634,7.9963,8.1291,8.262,8.3948,8.5277,8.6606,8.7934,8.9263,9.0591,9.192,9.3249,9.4577,9.5906,9.7235,9.8563,9.9892,10.122,10.255,10.388,10.521,10.653,10.786,10.919,11.052,11.185,11.318,11.451,11.584,11.716,11.849,11.982,12.115,12.248,12.381,12.514,12.646,12.779,12.912,13.045,13.178,13.311,13.444,13.576,13.709,13.842,13.975,14.108,14.241,14.374,14.506,14.639,14.772,14.905,15.038,15.171,15.304,15.436,15.569,15.702,15.835,15.968
-5.0239,-4.891,-4.7582,-4.6253,-4.4924,-4.3596,-4.2267,-4.0939,-3.961,-3.8281,-3.6953,-3.5624,-3.4296,-3.2967,-3.1638,-3.031,-2.8981,-2.7653,-2.6324,-2.4995,-2.3667,-2.2338,-2.1009,-1.9681,-1.8352,-1.7024,-1.5695,-1.4366,-1.3038,-1.1709,-1.0381,-0.9052,-0.77234,-0.63948,-0.50662,-0.37376,-0.2409,-0.10803,0.024827,0.15769,0.29055,0.42341,0.55627,0.68913,0.82199,0.95485,1.0877,1.2206,1.3534,1.4863,1.6192,1.752,1.8849,2.0177,2.1506,2.2835,2.4163,2.5492,2.682,2.8149,2.9478,3.0806,3.2135,3.3463,3.4792,3.6121,3.7449,3.8778,4.0107,4.1435,4.2764,4.4092,4.5421,4.675,4.8078,4.9407,5.0735,5.2064,5.3393,5.4721,5.605,5.7378,5.8707,6.0036,6.1364,6.2693,6.4022,6.535,6.6679,6.8007,6.9336,7.0665,7.1993,7.3322,7.465,7.5979,7.7308,7.8636,7.9965,8.1293,8.2622,8.3951,8.5279,8.6608,8.7936,8.9265,9.0594,9.1922,9.3251,9.458,9.5908,9.7237,9.8565,9.9894,10.122,10.255,10.388,10.521,10.654,10.787,10.919,11.052,11.185,11.318,11.451,11.584,11.717,11.849,11.982,12.115,12.248,12.381,12.514,12.647,12.779,12.912,13.045,13.178,13.311,13.444,13.577,13.71,13.842,13.975,14.108,14.241,14.374,14.507,14.64,14.772,14.905,15.038,15.171,15.304,15.437,15.57,15.702,15.835,15.968
-5.0237,-4.8908,-4.7579,-4.6251,-4.4922,-4.3594,-4.2265,-4.0936,-3.9608,-3.8279,-3.6951,-3.5622,-3.4293,-3.2965,-3.1636,-3.0308,-2.8979,-2.765,-2.6322,-2.4993,-2.3664,-2.2336,-2.1007,-1.9679,-1.835,-1.7021,-1.5693,-1.4364,-1.3036,-1.1707,-1.0378,-0.90498,-0.77212,-0.63926,-0.5064,-0.37354,-0.24067,-0.10781,0.025048,0.15791,0.29077,0.42363,0.55649,0.68935,0.82221,0.95507,1.0879,1.2208,1.3537,1.4865,1.6194,1.7522,1.8851,2.018,2.1508,2.2837,2.4165,2.5494,2.6823,2.8151,2.948,3.0808,3.2137,3.3466,3.4794,3.6123,3.7452,3.878,4.0109,4.1437,4.2766,4.4095,4.5423,4.6752,4.808,4.9409,5.0738,5.2066,5.3395,5.4723,5.6052,5.7381,5.8709,6.0038,6.1366,6.2695,6.4024,6.5352,6.6681,6.801,6.9338,7.0667,7.1995,7.3324,7.4653,7.5981,7.731,7.8638,7.9967,8.1296,8.2624,8.3953,8.5281,8.661,8.7939,8.9267,9.0596,9.1925,9.3253,9.4582,9.591,9.7239,9.8568,9.9896,10.122,10.255,10.388,10.521,10.654,10.787,10.92,11.053,11.185,11.318,11.451,11.584,11.717,11.85,11.983,12.115,12.248,12.381,12.514,12.647,12.78,12.913,13.045,13.178,13.311,13.444,13.577,13.71,13.843,13.975,14.108,14.241,14.374,14.507,14.64,14.773,14.905,15.038,15.171,15.304,15.437,15.57,15.703,15.835,15.968
-5.0234,-4.8906,-4.7577,-4.6249,-4.492,-4.3591,-4.2263,-4.0934,-3.9606,-3.8277,-3.6948,-3.562,-3.4291,-3.2963,-3.1634,-3.0305,-2.8977,-2.7648,-2.6319,-2.4991,-2.3662,-2.2334,-2.1005,-1.9676,-1.8348,-1.7019,-1.5691,-1.4362,-1.3033,-1.1705,-1.0376,-0.90476,-0.7719,-0.63904,-0.50618,-0.37331,-0.24045,-0.10759,0.025268,0.15813,0.29099,0.42385,0.55671,0.68957,0.82243,0.95529,1.0882,1.221,1.3539,1.4867,1.6196,1.7525,1.8853,2.0182,2.151,2.2839,2.4168,2.5496,2.6825,2.8153,2.9482,3.0811,3.2139,3.3468,3.4797,3.6125,3.7454,3.8782,4.0111,4.144,4.2768,4.4097,4.5425,4.6754,4.8083,4.9411,5.074,5.2068,5.3397,5.4726,5.6054,5.7383,5.8711,6.004,6.1369,6.2697,6.4026,6.5355,6.6683,6.8012,6.934,7.0669,7.1998,7.3326,7.4655,7.5983,7.7312,7.8641,7.9969,8.1298,8.2626,8.3955,8.5284,8.6612,8.7941,8.9269,9.0598,9.1927,9.3255,9.4584,9.5913,9.7241,9.857,9.9898,10.123,10.256,10.388,10.521,10.654,10.787,10.92,11.053,11.186,11.318,11.451,11.584,11.717,11.85,11.983,12.116,12.248,12.381,12.514,12.647,12.78,12.913,13.046,13.178,13.311,13.444,13.577,13.71,13.843,13.976,14.109,14.241,14.374,14.507,14.64,14.773,14.906,15.039,15.171,15.304,15.437,15.57,15.703,15.836,15.969
-5.0232,-4.8904,-4.7575,-4.6246,-4.4918,-4.3589,-4.2261,-4.0932,-3.9603,-3.8275,-3.6946,-3.5618,-3.4289,-3.296,-3.1632,-3.0303,-2.8975,-2.7646,-2.6317,-2.4989,-2.366,-2.2331,-2.1003,-1.9674,-1.8346,-1.7017,-1.5688,-1.436,-1.3031,-1.1703,-1.0374,-0.90454,-0.77168,-0.63882,-0.50595,-0.37309,-0.24023,-0.10737,0.025489,0.15835,0.29121,0.42407,0.55693,0.68979,0.82265,0.95552,1.0884,1.2212,1.3541,1.487,1.6198,1.7527,1.8855,2.0184,2.1513,2.2841,2.417,2.5498,2.6827,2.8156,2.9484,3.0813,3.2142,3.347,3.4799,3.6127,3.7456,3.8785,4.0113,4.1442,4.277,4.4099,4.5428,4.6756,4.8085,4.9413,5.0742,5.2071,5.3399,5.4728,5.6056,5.7385,5.8714,6.0042,6.1371,6.27,6.4028,6.5357,6.6685,6.8014,6.9343,7.0671,7.2,7.3328,7.4657,7.5986,7.7314,7.8643,7.9971,8.13,8.2629,8.3957,8.5286,8.6614,8.7943,8.9272,9.06,9.1929,9.3258,9.4586,9.5915,9.7243,9.8572,9.9901,10.123,10.256,10.389,10.522,10.654,10.787,10.92,11.053,11.186,11.319,11.452,11.584,11.717,11.85,11.983,12.116,12.249,12.382,12.514,12.647,12.78,12.913,13.046,13.179,13.312,13.444,13.577,13.71,13.843,13.976,14.109,14.242,14.374,14.507,14.64,14.773,14.906,15.039,15.172,15.304,15.437,15.57,15.703,15.836,15.969
-5.023,-4.8901,-4.7573,-4.6244,-4.4916,-4.3587,-4.2258,-4.093,-3.9601,-3.8273,-3.6944,-3.5615,-3.4287,-3.2958,-3.163,-3.0301,-2.8972,-2.7644,-2.6315,-2.4986,-2.3658,-2.2329,-2.1001,-1.9672,-1.8343,-1.7015,-1.5686,-1.4358,-1.3029,-1.17,-1.0372,-0.90432,-0.77146,-0.63859,-0.50573,-0.37287,-0.24001,-0.10715,0.02571,0.15857,0.29143,0.42429,0.55715,0.69001,0.82288,0.95574,1.0886,1.2215,1.3543,1.4872,1.62,1.7529,1.8858,2.0186,2.1515,2.2843,2.4172,2.5501,2.6829,2.8158,2.9487,3.0815,3.2144,3.3472,3.4801,3.613,3.7458,3.8787,4.0115,4.1444,4.2773,4.4101,4.543,4.6758,4.8087,4.9416,5.0744,5.2073,5.3401,5.473,5.6059,5.7387,5.8716,6.0045,6.1373,6.2702,6.403,6.5359,6.6688,6.8016,6.9345,7.0673,7.2002,7.3331,7.4659,7.5988,7.7316,7.8645,7.9974,8.1302,8.2631,8.3959,8.5288,8.6617,8.7945,8.9274,9.0603,9.1931,9.326,9.4588,9.5917,9.7246,9.8574,9.9903,10.123,10.256,10.389,10.522,10.655,10.787,10.92,11.053,11.186,11.319,11.452,11.585,11.717,11.85,11.983,12.116,12.249,12.382,12.515,12.647,12.78,12.913,13.046,13.179,13.312,13.445,13.578,13.71,13.843,13.976,14.109,14.242,14.375,14.508,14.64,14.773,14.906,15.039,15.172,15.305,15.438,15.57,15.703,15.836,15.969
-5.0228,-4.8899,-4.7571,-4.6242,-4.4913,-4.3585,-4.2256,-4.0928,-3.9599,-3.827,-3.6942,-3.5613,-3.4285,-3.2956,-3.1627,-3.0299,-2.897,-2.7641,-2.6313,-2.4984,-2.3656,-2.2327,-2.0998,-1.967,-1.8341,-1.7013,-1.5684,-1.4355,-1.3027,-1.1698,-1.037,-0.9041,-0.77123,-0.63837,-0.50551,-0.37265,-0.23979,-0.10693,0.025931,0.15879,0.29165,0.42451,0.55737,0.69024,0.8231,0.95596,1.0888,1.2217,1.3545,1.4874,1.6203,1.7531,1.886,2.0188,2.1517,2.2846,2.4174,2.5503,2.6831,2.816,2.9489,3.0817,3.2146,3.3475,3.4803,3.6132,3.746,3.8789,4.0118,4.1446,4.2775,4.4103,4.5432,4.6761,4.8089,4.9418,5.0746,5.2075,5.3404,5.4732,5.6061,5.739,5.8718,6.0047,6.1375,6.2704,6.4033,6.5361,6.669,6.8018,6.9347,7.0676,7.2004,7.3333,7.4661,7.599,7.7319,7.8647,7.9976,8.1304,8.2633,8.3962,8.529,8.6619,8.7948,8.9276,9.0605,9.1933,9.3262,9.4591,9.5919,9.7248,9.8576,9.9905,10.123,10.256,10.389,10.522,10.655,10.788,10.921,11.053,11.186,11.319,11.452,11.585,11.718,11.851,11.983,12.116,12.249,12.382,12.515,12.648,12.781,12.913,13.046,13.179,13.312,13.445,13.578,13.711,13.843,13.976,14.109,14.242,14.375,14.508,14.641,14.773,14.906,15.039,15.172,15.305,15.438,15.571,15.704,15.836,15.969
-5.0226,-4.8897,-4.7568,-4.624,-4.4911,-4.3583,-4.2254,-4.0925,-3.9597,-3.8268,-3.694,-3.5611,-3.4282,-3.2954,-3.1625,-3.0296,-2.8968,-2.7639,-2.6311,-2.4982,-2.3653,-2.2325,-2.0996,-1.9668,-1.8339,-1.701,-1.5682,-1.4353,-1.3025,-1.1696,-1.0367,-0.90387,-0.77101,-0.63815,-0.50529,-0.37243,-0.23957,-0.10671,0.026152,0.15901,0.29187,0.42473,0.5576,0.69046,0.82332,0.95618,1.089,1.2219,1.3548,1.4876,1.6205,1.7533,1.8862,2.0191,2.1519,2.2848,2.4176,2.5505,2.6834,2.8162,2.9491,3.082,3.2148,3.3477,3.4805,3.6134,3.7463,3.8791,4.012,4.1448,4.2777,4.4106,4.5434,4.6763,4.8091,4.942,5.0749,5.2077,5.3406,5.4734,5.6063,5.7392,5.872,6.0049,6.1378,6.2706,6.4035,6.5363,6.6692,6.8021,6.9349,7.0678,7.2006,7.3335,7.4664,7.5992,7.7321,7.8649,7.9978,8.1307,8.2635,8.3964,8.5293,8.6621,8.795,8.9278,9.0607,9.1936,9.3264,9.4593,9.5921,9.725,9.8579,9.9907,10.124,10.256,10.389,10.522,10.655,10.788,10.921,11.054,11.186,11.319,11.452,11.585,11.718,11.851,11.984,12.116,12.249,12.382,12.515,12.648,12.781,12.914,13.047,13.179,13.312,13.445,13.578,13.711,13.844,13.977,14.109,14.242,14.375,14.508,14.641,14.774,14.907,15.039,15.172,15.305,15.438,15.571,15.704,15.837,15.969
-5.0223,-4.8895,-4.7566,-4.6238,-4.4909,-4.358,-4.2252,-4.0923,-3.9595,-3.8266,-3.6937,-3.5609,-3.428,-3.2952,-3.1623,-3.0294,-2.8966,-2.7637,-2.6308,-2.498,-2.3651,-2.2323,-2.0994,-1.9665,-1.8337,-1.7008,-1.568,-1.4351,-1.3022,-1.1694,-1.0365,-0.90365,-0.77079,-0.63793,-0.50507,-0.37221,-0.23935,-0.10649,0.026372,0.15923,0.29209,0.42496,0.55782,0.69068,0.82354,0.9564,1.0893,1.2221,1.355,1.4878,1.6207,1.7536,1.8864,2.0193,2.1521,2.285,2.4179,2.5507,2.6836,2.8165,2.9493,3.0822,3.215,3.3479,3.4808,3.6136,3.7465,3.8793,4.0122,4.1451,4.2779,4.4108,4.5436,4.6765,4.8094,4.9422,5.0751,5.2079,5.3408,5.4737,5.6065,5.7394,5.8723,6.0051,6.138,6.2708,6.4037,6.5366,6.6694,6.8023,6.9351,7.068,7.2009,7.3337,7.4666,7.5994,7.7323,7.8652,7.998,8.1309,8.2637,8.3966,8.5295,8.6623,8.7952,8.9281,9.0609,9.1938,9.3266,9.4595,9.5924,9.7252,9.8581,9.9909,10.124,10.257,10.39,10.522,10.655,10.788,10.921,11.054,11.187,11.32,11.452,11.585,11.718,11.851,11.984,12.117,12.25,12.382,12.515,12.648,12.781,12.914,13.047,13.18,13.312,13.445,13.578,13.711,13.844,13.977,14.11,14.242,14.375,14.508,14.641,14.774,14.907,15.04,15.173,15.305,15.438,15.571,15.704,15.837,15.97
-5.0221,-4.8893,-4.7564,-4.6235,-4.4907,-4.3578,-4.225,-4.0921,-3.9592,-3.8264,-3.6935,-3.5607,-3.4278,-3.2949,-3.1621,-3.0292,-2.8963,-2.7635,-2.6306,-2.4978,-2.3649,-2.232,-2.0992,-1.9663,-1.8335,-1.7006,-1.5677,-1.4349,-1.302,-1.1692,-1.0363,-0.90343,-0.77057,-0.63771,-0.50485,-0.37199,-0.23913,-0.10627,0.026593,0.15945,0.29232,0.42518,0.55804,0.6909,0.82376,0.95662,1.0895,1.2223,1.3552,1.4881,1.6209,1.7538,1.8866,2.0195,2.1524,2.2852,2.4181,2.551,2.6838,2.8167,2.9495,3.0824,3.2153,3.3481,3.481,3.6138,3.7467,3.8796,4.0124,4.1453,4.2781,4.411,4.5439,4.6767,4.8096,4.9424,5.0753,5.2082,5.341,5.4739,5.6068,5.7396,5.8725,6.0053,6.1382,6.2711,6.4039,6.5368,6.6696,6.8025,6.9354,7.0682,7.2011,7.3339,7.4668,7.5997,7.7325,7.8654,7.9982,8.1311,8.264,8.3968,8.5297,8.6626,8.7954,8.9283,9.0611,9.194,9.3269,9.4597,9.5926,9.7254,9.8583,9.9912,10.124,10.257,10.39,10.523,10.655,10.788,10.921,11.054,11.187,11.32,11.453,11.585,11.718,11.851,11.984,12.117,12.25,12.383,12.516,12.648,12.781,12.914,13.047,13.18,13.313,13.446,13.578,13.711,13.844,13.977,14.11,14.243,14.376,14.508,14.641,14.774,14.907,15.04,15.173,15.306,15.438,15.571,15.704,15.837,15.97
